GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Module for utilities,pl.edu.agh.kis.pz1,Guest,17,64,2,2,3,24,2,13,1,12
Module for utilities,pl.edu.agh.kis.pz1,ExcelHandler,104,301,14,24,33,69,13,16,2,8
Module for utilities,pl.edu.agh.kis.pz1,Room,22,104,0,0,7,34,4,17,4,17
Module for utilities,pl.edu.agh.kis.pz1,Utils,7,0,0,0,3,0,2,0,2,0
Module for utilities,pl.edu.agh.kis.pz1,MyMap,3,121,1,13,2,32,1,12,0,6
